id,coc,cor,port_code,age,visa_issued_in,occup,biryear,gender,airline,admnum,fltno,visatype,arrival_dt,departure_dt,added_to_i94,allowed_until,arrival_mode,visit_purpose
1407038,245,245,ANC,42,BEJ,"",1974,M,*GA,732716585,B1999,B1,2016-04-08,2016-04-11,2016-04-08,2016-10-04,Air,Business
1407039,245,245,ANC,41,BEJ,"",1975,M,*GA,732840285,B1999,B1,2016-04-08,2016-04-11,2016-04-08,2016-10-07,Air,Business
1407040,245,245,ANC,26,BEJ,"",1990,M,*GA,732945785,B1999,B1,2016-04-08,2016-04-11,2016-04-08,2016-10-04,Air,Business
1407041,245,245,ANC,44,BEJ,"",1972,M,*GA,734205185,B1999,B1,2016-04-08,2016-04-27,2016-04-08,2016-10-07,Air,Business
1407042,245,245,ANC,38,BEJ,"",1978,M,*GA,734317085,B1999,B1,2016-04-08,2016-04-27,2016-04-08,2016-10-07,Air,Business
1407043,245,245,ANC,36,BEJ,"",1980,M,*GA,732720185,B1999,B1,2016-04-08,2016-04-27,2016-04-08,2016-10-07,Air,Business
1421969,268,268,ORL,31,"","",1985,"",KE,2147483647,00019,WB,2016-04-08,2016-06-15,2016-04-08,2016-07-06,Air,Business
1429960,438,438,SFR,41,SYD,"",1975,M,QF,2147483647,00073,I,2016-04-08,2016-04-25,2016-04-08,"",Air,Business
1628576,245,245,ANC,32,CHE,"",1984,M,*GA,2147483647,B3142,B1,2016-04-09,2016-04-10,2016-04-09,2016-10-08,Air,Business
1628577,245,245,ANC,27,CHE,"",1989,M,*GA,2147483647,B3142,B1,2016-04-09,2016-04-10,2016-04-09,2016-10-08,Air,Business
1628578,245,245,ANC,26,CHE,"",1990,M,*GA,2147483647,B3142,B1,2016-04-09,2016-04-10,2016-04-09,2016-10-08,Air,Business
1628579,245,245,ANC,23,CHE,"",1993,M,*GA,2147483647,B3142,B1,2016-04-09,2016-04-10,2016-04-09,2016-10-08,Air,Business
1628580,245,245,ANC,26,CHE,"",1990,M,*GA,2147483647,B3142,B1,2016-04-09,2016-04-10,2016-04-09,2016-09-03,Air,Business
